CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
255	10778	1	0.9746	0.503
1884	10222	1	0.8825	-130.039
1643	4933	1	0.8561	-18.025
4387	6571	1	0.8494	71.510
1673	2679	1	0.9538	5.451
3201	4387	1	0.8489	-141.545
1075	1884	1	0.853	-16.003
261	6364	1	0.8492	-289.063
5019	5779	1	0.8422	288.062
2002	4180	1	0.8723	144.534
3712	4546	1	0.9308	0.000
2996	3853	1	0.896	-81.023
1075	1338	1	0.8996	-81.023
1056	1643	1	0.8673	99.048
1075	1927	1	0.8845	81.540
2996	5584	1	0.8806	-306.585
1076	3977	1	0.8992	0.000
7707	10795	1	0.9294	-1.030
1626	2996	1	0.8409	-144.031
5662	7667	1	0.8561	76.003
251	2103	1	0.8911	2.017
1098	3426	1	0.8776	227.061
1946	5000	1	0.9391	0.972
3147	6344	1	0.8414	-290.581
899	2096	1	0.8462	-146.043
4380	6236	1	0.8771	-63.017
261	1950	1	0.857	-292.095
5785	5795	1	0.8681	75.002
1495	3462	1	0.8731	-144.031
2679	11722	1	0.8792	214.085
288	2996	1	0.8447	-209.055
1495	7667	1	0.9079	0.000
4206	4269	1	0.8724	-228.033
2096	2551	1	0.9105	2.012
2966	5620	1	0.8671	234.002
1986	2085	1	0.8835	68.526
1056	1604	1	0.9566	-65.523
1248	1626	1	0.9368	65.015
3201	4380	1	0.8665	2.486
2996	4933	1	0.9079	65.024
899	3201	1	0.8488	-76.008
2966	4721	1	0.8955	-209.036
6855	10222	1	0.8816	-64.507
1825	7707	1	0.9361	1.025
1338	1884	1	0.9525	65.020
4608	6460	1	0.8463	-288.560
1643	2673	1	0.8623	-229.590
1986	7843	1	0.8856	-72.516
3462	6534	1	0.9075	-0.498
909	1076	1	0.8939	0.000
2643	11300	1	0.9356	10.993
1213	10917	1	0.8953	144.031
4740	10619	1	0.9035	0.005
3977	4387	1	0.8404	-72.511
1884	4218	1	0.9103	-144.031
150	4690	1	0.8522	0.508
1551	4206	1	0.8741	0.000
1213	4180	1	0.9268	0.000
2996	4218	1	0.881	-160.532
150	678	1	0.8522	0.000
1604	10222	1	0.848	-65.020
1927	3833	1	0.9122	64.996
1604	4218	1	0.8949	-79.011
3753	4218	1	0.855	-15.999
1075	2673	1	0.8633	-146.043
1626	3541	1	0.8861	130.044
4795	6970	1	0.9156	-65.513
6855	8152	1	0.8564	1.523
7357	10917	1	0.9108	73.019
1626	2673	1	0.8874	-290.572
1986	4690	1	0.8626	144.031
1098	5584	1	0.9035	-225.562
2451	4387	1	0.8782	215.043
288	2966	1	0.8444	81.023
1047	2673	1	0.9227	-130.542
1056	5584	1	0.9221	-290.586
3147	5595	1	0.8414	-290.581
678	1946	1	0.9093	0.038
2744	4721	1	0.9082	16.018
6872	10843	1	0.8873	-145.037
1056	1098	1	0.942	-65.024
4546	6648	1	0.915	76.008
4206	10525	1	0.8803	0.000
3589	5870	1	0.8976	-152.030
4163	5779	1	0.8493	220.039
1986	4180	1	0.8906	-143.528
1950	3977	1	0.8711	292.095
3712	5662	1	0.8869	-76.003
2829	3790	1	0.9097	76.008
1021	6364	1	0.8429	-1.001
251	7605	1	0.8944	-1.001
899	5388	1	0.905	71.002
1021	6571	1	0.8571	287.061
5138	7667	1	0.8601	228.033
1626	2643	1	0.8455	-236.545
4225	5949	1	0.8661	15.999
1884	8152	1	0.9217	-64.009
2643	8152	1	0.9509	12.004
2096	11083	1	0.8633	1.001
1047	3147	1	0.896	-225.562
6236	7357	1	0.8756	63.520
1047	2744	1	0.8848	81.023
1075	4933	1	0.8707	65.523
1673	4608	1	0.8697	220.034
4163	4266	1	0.8685	76.008
261	4338	1	0.8554	-15.994
1107	3266	1	0.8675	-300.075
1338	1626	1	0.8783	225.552
4269	4293	1	0.9301	-2.012
3646	4933	1	0.9183	0.000
2996	3833	1	0.8949	146.038
288	1056	1	0.8595	-225.054
2744	8152	1	0.9049	-145.535
1075	5584	1	0.8525	-306.086
1107	1939	1	0.8675	-299.064
899	6571	1	0.8807	-146.043
1551	4801	1	0.9072	15.994
4225	4338	1	0.8492	15.999
1643	2966	1	0.8722	207.029
3646	8152	1	0.8727	-145.535
1047	2412	1	0.9154	-225.562
776	2639	1	0.8807	216.063
7178	10525	1	0.8553	-76.027
2742	4795	1	0.8649	-79.016
1626	11300	1	0.8579	-225.552
2643	10778	1	0.8565	236.550
1604	10984	1	0.8783	290.576
255	2742	1	0.8985	81.521
1075	4218	1	0.8645	-160.034
4266	5119	1	0.9165	-144.031
2742	2966	1	0.9456	65.024
3833	4933	1	0.8906	-81.013
2762	7667	1	0.8627	220.034
1986	6236	1	0.8763	-136.036
1900	2959	1	0.8605	-220.537
3122	6460	1	0.879	296.037
1047	4218	1	0.8775	-144.534
261	1213	1	0.9344	1.011
3541	10984	1	0.8743	-65.020
2673	3426	1	0.878	292.579
2335	5138	1	0.8993	0.000
3853	10984	1	0.8568	290.078
1673	5662	1	0.921	0.000
5785	11722	1	0.9046	-0.498
1354	4051	1	0.8416	7.995
2966	10778	1	0.8763	-146.043
1884	5584	1	0.9066	-290.083
1946	4690	1	0.9063	0.469
10984	11300	1	0.8992	-290.576
909	11083	1	0.9041	0.000
261	1354	1	0.8589	145.042
1248	11300	1	0.8699	-160.537
2639	3993	1	0.8905	-224.038
2412	4218	1	0.8926	81.028
1986	2002	1	0.8658	-288.062
1939	3266	1	1.0	-1.011
4180	6571	1	0.8862	-2.012
1047	1098	1	0.9543	-65.024
2803	3746	1	0.847	-73.009
3712	6460	1	0.8794	-144.529
2412	3147	1	0.9411	0.000
899	4690	1	0.8625	143.528
4324	5586	1	0.8856	-0.996
1673	2762	1	0.8906	-144.031
