row ID,row m/z,row retention time
385,347.976,87.0
386,1119.508,1236.0
387,615.096,807.0
388,545.143,708.0
389,623.067,732.0
390,601.081,780.0
391,1947.869,1479.0
392,635.066,744.0
393,1634.77,1557.0
394,1245.582,1392.0
395,301.034,741.0
396,966.539,1254.0
397,1923.838,1308.0
399,778.474,1035.0
400,1786.891,1428.0
401,1067.47,1269.0
402,285.04,606.0
403,1845.818,1143.0
404,1132.59,993.0
405,625.045,759.0
406,925.513,1401.0
407,285.002,648.0
408,1855.829,1443.0
409,1126.99,1332.0
410,1245.079,1392.0
411,1111.509,1323.0
412,1628.821,1494.0
414,301.034,594.0
415,463.368,666.0
416,215.14,435.0
417,343.067,618.0
418,1630.881,1116.0
419,1933.849,1386.0
420,851.914,1110.0
421,793.438,1560.0
422,799.1,642.0
423,929.067,888.0
425,892.931,1344.0
426,675.359,1629.0
427,627.076,1299.0
428,1712.79,1164.0
429,939.495,1395.0
430,1751.819,1539.0
431,1335.629,1566.0
432,1668.77,1173.0
433,1192.551,1482.0
434,193.192,495.0
435,1087.588,1116.0
436,765.44,996.0
438,740.192,711.0
439,667.168,1092.0
440,1029.461,1320.0
441,594.154,558.0
442,203.021,66.0
443,896.5,978.0
444,880.501,1089.0
445,899.221,693.0
446,288.087,399.0
447,625.045,822.0
448,1686.78,1122.0
449,1022.468,1404.0
450,1885.848,1434.0
451,1336.142,1470.0
452,471.056,855.0
453,1933.849,1452.0
454,441.08,579.0
455,824.482,1134.0
456,269.047,1008.0
457,1720.808,1425.0
458,288.087,585.0
459,1917.841,1452.0
460,1102.581,873.0
461,616.423,1239.0
462,984.449,1368.0
463,1939.889,1386.0
464,1778.83,1140.0
465,1203.228,837.0
467,1802.789,1314.0
468,1641.749,1329.0
469,1772.789,1371.0
470,193.015,555.0
471,1833.819,1167.0
472,269.047,1008.0
473,1105.512,1320.0
474,1001.971,1257.0
475,1081.002,1233.0
476,822.465,1185.0
478,1756.791,1305.0
479,1035.971,1359.0
480,921.441,1449.0
481,683.143,585.0
482,939.495,1395.0
483,955.211,468.0
484,161.022,777.0
485,1815.809,1176.0
486,1012.509,1152.0
487,1052.961,1302.0
488,913.145,504.0
489,783.489,1212.0
490,1408.672,1485.0
491,616.102,807.0
492,1231.628,1104.0
493,1798.818,1338.0
494,1093.001,1251.0
495,289.294,423.0
496,1096.512,1320.0
497,637.078,669.0
498,1793.822,1326.0
499,714.422,1197.0
500,992.444,1362.0
501,1260.632,1086.0
502,939.931,1080.0
503,1230.622,1206.0
504,1940.881,1119.0
505,211.135,1197.0
506,658.393,1329.0
507,658.431,1311.0
508,953.41,1182.0
509,1110.508,1212.0
510,778.474,1137.0
511,823.447,1350.0
512,777.056,774.0
513,1172.05,1389.0
514,1355.632,1509.0
515,1031.281,771.0
516,581.164,903.0
517,1008.548,1416.0
518,924.531,1188.0
520,303.276,876.0
522,1452.702,990.0
523,193.015,711.0
524,329.089,486.0
525,1904.841,1305.0
527,1086.582,1116.0
528,1050.47,1395.0
529,1565.751,1608.0
531,1059.47,1278.0
532,505.098,720.0
533,477.101,633.0
534,1756.791,1143.0
535,1571.801,1596.0
537,1816.829,1305.0
539,1831.831,1260.0
540,616.423,1398.0
541,1074.981,1260.0
542,1057.468,1437.0
544,1536.728,1251.0
545,893.41,1524.0
546,579.075,855.0
547,483.079,432.0
548,1080.978,1422.0
549,837.243,984.0
550,1395.638,1170.0
551,633.418,1023.0
552,632.417,1203.0
553,1124.509,1170.0
554,1443.888,1005.0
555,471.056,777.0
556,727.202,1122.0
557,509.237,1026.0
559,1179.058,1416.0
560,1863.828,1260.0
561,1263.602,1230.0
562,293.212,1491.0
563,647.089,642.0
564,309.206,1251.0
565,1498.71,936.0
566,221.094,288.0
567,1096.009,1230.0
568,907.172,840.0
569,1060.04,1242.0
570,450.109,693.0
571,1007.451,1158.0
572,305.068,225.0
573,1192.551,1410.0
574,1889.848,1341.0
575,1015.972,1182.0
576,451.12,396.0
577,985.47,1605.0
578,553.133,861.0
579,631.382,1167.0
580,313.239,1311.0
581,1098.509,1332.0
582,1855.901,1581.0
583,647.089,546.0
584,1440.688,993.0
585,1043.462,1236.0
586,597.182,708.0
588,892.467,1140.0
589,305.068,783.0
590,1144.551,1128.0
591,617.113,651.0
