CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
95	3832	11	0.9169	0.000
95	5219	11	0.8955	-10.021
95	532	11	0.9094	-10.021
95	595	11	0.9171	-10.021
95	6038	11	0.8898	-24.036
95	604	11	0.8736	-140.012
95	6226	11	0.9293	5.973
95	6293	11	0.8877	-192.065
95	6701	11	0.9595	5.973
95	6749	11	0.9347	-1.001
95	7219	11	0.8672	-14.087
95	7861	11	0.8801	-114.007
95	8647	11	0.932	-418.067
95	987	11	0.8693	-98.013
96	10320	219	0.9924	0.000
96	10732	219	0.9926	0.000
96	3035	219	0.9931	18.010
96	5456	219	0.9217	-42.013
96	810	219	0.9177	-326.066
96	8669	219	0.9875	-1.006
97	10435	75	0.8865	-0.019
97	11001	75	0.9033	15.979
97	522	75	0.8917	15.989
97	565	75	0.8968	-30.019
99	10779	2	0.9556	-135.011
99	3318	2	0.9509	-176.047
99	4234	2	0.9885	-1.001
100	584	540	1.0	0.000
101	1112	38	0.9028	-15.999
101	156	38	0.7746	-14.988
104	3449	38	0.783	-146.043
104	448	38	0.8627	-146.052
106	478	124	0.7427	61.039
107	10350	55	0.9245	130.039
107	1206	55	0.8025	144.055
107	157	55	0.877	144.055
107	1909	55	0.8019	-7.956
107	2094	55	0.971	0.000
107	2213	55	0.9769	0.000
107	2462	55	0.9102	114.045
107	2637	55	0.9053	-15.999
107	2732	55	0.9509	14.001
107	2734	55	0.86	130.039
107	274	55	0.8016	-15.999
107	282	55	0.8039	114.045
107	2894	55	0.8977	10.021
107	2904	55	0.9118	-46.008
107	3402	55	0.9566	-36.059
107	3690	55	0.9286	-34.043
107	3931	55	0.9413	-46.008
107	402	55	0.7864	294.107
107	4366	55	0.9398	-146.047
107	5086	55	0.9614	45.984
107	5500	55	0.9566	-36.059
107	6614	55	0.9526	-1.006
107	7356	55	0.7813	-7.956
107	7716	55	0.9295	-182.121
107	8044	55	0.9259	143.054
107	827	55	0.8787	-15.999
112	11193	170	0.826	-69.058
112	1419	170	0.9925	-0.287
112	1650	170	0.886	-170.021
112	1907	170	0.7635	-9.982
112	2007	170	0.817	-2.017
112	2179	170	0.8392	-474.067
112	3087	170	0.9792	0.000
112	3274	170	0.9856	-1.006
112	3741	170	0.8595	-153.012
112	3972	170	0.7902	82.949
112	452	170	0.9366	0.000
112	5280	170	0.9518	65.000
112	555	170	0.9408	0.000
112	597	170	0.833	-146.057
112	6119	170	0.7285	152.011
112	619	170	0.7697	-152.332
112	6875	170	0.9206	-1.006
112	728	170	0.9575	2.017
112	837	170	0.7726	168.005
112	838	170	0.8796	152.011
112	933	170	0.7688	168.005
113	187	38	0.9882	116.057
113	1896	38	0.8882	-78.001
113	283	38	0.9239	13.010
113	631	38	0.882	-90.014
114	10170	15	0.7814	14.974
114	1327	15	0.7651	0.503
114	1935	15	0.7013	-6.510
114	2380	15	0.7135	-132.578
114	2955	15	0.7135	-140.568
114	4729	15	0.7226	-5.997
114	5185	15	0.6804	-14.518
114	600	15	0.7522	-21.009
114	669	15	0.6958	-13.010
114	7374	15	0.7788	-22.508
114	862	15	0.683	-13.010
114	964	15	0.7152	16.003
116	1158	9	0.6868	-277.097
116	117	9	0.8196	-172.067
