CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4206	6643	1	0.9078	-0.503
2996	4218	1	0.881	-160.532
1927	3833	1	0.9122	64.996
1604	2673	1	0.9448	-65.020
1076	4180	1	0.8467	1.011
4824	10025	1	0.8488	-77.028
2744	10984	1	0.8528	144.031
261	1076	1	0.8698	0.000
255	2742	1	0.8985	81.521
3627	4293	1	0.8544	74.015
1213	2096	1	0.8508	-2.012
438	1248	1	0.9711	-130.039
5785	10619	1	0.9114	0.005
2996	3426	1	0.8553	146.038
4608	10619	1	0.923	0.005
1047	3646	1	0.864	81.023
1600	1825	1	0.8413	1.006
5388	10917	1	0.9149	-71.002
1354	4387	1	0.9093	-217.553
1673	4546	1	0.8514	76.003
6855	8152	1	0.8564	1.523
4266	6460	1	0.8612	-76.506
1927	4721	1	0.9479	0.000
4377	5785	1	0.8496	68.023
1283	2673	1	0.903	160.044
255	8152	1	0.9108	-224.043
4546	5785	1	0.8424	144.031
4387	6571	1	0.8494	71.510
1075	1927	1	0.8845	81.540
1643	2744	1	0.8584	-18.025
255	8469	1	0.8793	130.542
2762	5662	1	0.8681	144.031
4377	7667	1	0.8758	-76.008
2643	10778	1	0.8565	236.550
251	11028	1	0.9134	-1.001
3712	5119	1	0.8615	-212.054
1338	4933	1	0.86	146.546
1604	2744	1	0.8706	146.546
1643	11300	1	0.8696	-164.570
909	4338	1	0.8498	-15.994
5662	7667	1	0.8561	76.003
3776	4225	1	0.9083	15.989
2996	3833	1	0.8949	146.038
1075	10778	1	0.8419	144.534
255	1643	1	0.9009	-60.483
251	7605	1	0.8944	-1.001
3147	11300	1	0.8694	160.039
2803	6643	1	0.8699	-76.506
3712	4313	1	0.8596	-15.994
3646	11316	1	0.8471	160.039
4944	11316	1	0.8486	80.022
2679	10619	1	0.8975	214.588
1338	11300	1	0.9136	0.000
6872	10843	1	0.8873	-145.037
4266	4546	1	0.8881	68.023
3833	11316	1	0.851	79.026
8469	10778	1	0.9337	-130.039
6643	7178	1	0.8995	76.530
1946	5000	1	0.9391	0.972
3977	6571	1	0.9615	-1.001
1673	3462	1	0.8585	-68.028
261	11083	1	0.9023	0.000
1047	3147	1	0.896	-225.562
1283	8152	1	0.9035	226.074
1495	4608	1	0.8687	144.031
4608	5785	1	0.9173	0.000
4377	4740	1	0.8534	68.023
10778	11300	1	0.9043	-225.557
1826	4031	1	0.8506	-135.998
3201	4387	1	0.8489	-141.545
5662	6534	1	0.8855	-68.526
2966	5683	1	0.8404	-146.546
1673	4608	1	0.8697	220.034
255	11300	1	0.8948	-225.054
10619	11722	1	0.9468	-0.503
1551	6643	1	0.9088	-0.503
1495	2762	1	0.8632	-220.034
3541	10984	1	0.8743	-65.020
1098	2643	1	0.9194	-11.491
6872	7707	1	0.8407	2.031
1056	4218	1	0.9013	-144.534
3122	11490	1	0.9191	220.542
3790	4206	1	0.9259	76.022
899	10917	1	0.9863	0.000
1338	2996	1	0.92	81.521
4933	8152	1	0.8555	-145.535
2744	4721	1	0.9082	16.018
3790	4324	1	0.8572	-457.049
704	2679	1	0.8603	151.494
2643	11300	1	0.9356	10.993
4269	4313	1	0.864	236.028
3753	3833	1	0.8639	290.572
5620	11316	1	0.851	-299.016
1604	2412	1	0.9083	-160.039
6460	6492	1	0.8521	76.506
2085	7843	1	0.8621	-141.042
438	10778	1	0.9657	-65.020
1673	10619	1	0.8671	220.039
261	1213	1	0.9344	1.011
2643	6855	1	0.8564	10.481
1098	11300	1	0.9052	-0.498
1354	1986	1	0.9155	-0.503
1075	10984	1	0.8409	209.553
1248	10984	1	0.9448	130.039
6643	10525	1	0.9059	0.503
4218	8152	1	0.8675	80.022
1891	4199	1	0.9227	1.011
5891	7357	1	0.8541	63.017
2643	3753	1	0.8964	-52.020
